Company Name,Company Site,Company Industries,Report Link,Report Year,Mean Hourly Gap,Median Hourly Gap,Mean Bonus Gap,Median Bonus Gap,Mean Hourly Gap Part Time,Median Hourly Gap Part Time,Mean Hourly Gap Part Temp,Median Hourly Gap Part Temp,Percentage Bonus Paid Female,Percentage Bonus Paid Male,Percentage BIK Paid Female,Percentage BIK Paid Male,Q1 Female,Q1 Male,Q2 Female,Q2 Male,Q3 Female,Q3 Male,Q4 Female,Q4 Male,Percentage Employees Female,Percentage Employees Male,id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
3M,https://www.3mireland.ie/3M/en_IE/company-uk/,Manufacturing,https://web.archive.org/web/20230404104551/https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2022.pdf,2022.0,7.4,2.0,20.0,-45.0,,,,,9.0,14.0,96.0,99.0,35.0,65.0,31.0,69.0,31.0,69.0,29.0,71.0,,,2,3M,1,20.0,7.4,-45.0,2.0,https://web.archive.org/web/20230404104551/https://multimedia.3m.com/mws/media/2264329O/ireland-gender-pay-gap-report-2022.pdf,2022,,,,,9.0,14.0,96.0,99.0,35.0,65.0,31.0,69.0,31.0,69.0,29.0,71.0,,,
A&L Goodbody (excluding equity partners),https://www.algoodbody.com/,Law,https://www.algoodbody.com/files/uploads/news_insights_pub/ALG_Gender_Pay_Gap_Report_2022.PDF,2022.0,20.9,22.7,41.6,35.1,9.2,9.4,2.8,15.9,54.7,62.8,84.5,81.4,66.4,33.6,66.2,33.8,60.6,39.4,57.9,42.1,,,3,A&L Goodbody (excluding equity partners),2,41.6,20.9,35.1,22.7,https://www.algoodbody.com/files/uploads/news_insights_pub/ALG_Gender_Pay_Gap_Report_2022.PDF,2022,9.2,9.4,2.8,15.9,54.7,62.8,84.5,81.4,66.4,33.6,66.2,33.8,60.6,39.4,57.9,42.1,,,
AA,https://www.theaa.ie/,"Insurance,Automotive",https://www.theaa.ie/wp-content/uploads/2022/12/2022-AA-Ireland-Gender-Pay-Gap-Report_External-Final-Dec-2022-2.pdf,2022.0,6.0,16.0,-36.0,-51.0,-39.0,2.0,17.0,14.0,76.0,80.0,28.0,37.0,53.0,47.0,24.0,76.0,19.0,81.0,27.0,73.0,31.0,69.0,4,AA,3,-36.0,6.0,-51.0,16.0,https://www.theaa.ie/wp-content/uploads/2022/12/2022-AA-Ireland-Gender-Pay-Gap-Report_External-Final-Dec-2022-2.pdf,2022,-39.0,2.0,17.0,14.0,76.0,80.0,28.0,37.0,53.0,47.0,24.0,76.0,19.0,81.0,27.0,73.0,31.0,69.0,
Abbott Ireland (all legal entities),https://www.ie.abbott/homepage.html,Pharmaceutical,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/Gender-Gap-Infographic-Nov2022-CP-Abbott-Ireland.pdf,2022.0,12.2,7.7,23.2,5.7,-22.0,-19.3,4.7,-2.3,72.9,75.9,57.2,51.9,51.3,48.7,52.0,48.0,48.9,51.1,37.9,62.1,,,5,Abbott Ireland (all legal entities),4,23.2,12.2,5.7,7.7,https://www.ie.abbott/content/dam/corp/abbott/en-ie/documents/pdf/Gender-Gap-Infographic-Nov2022-CP-Abbott-Ireland.pdf,2022,-22.0,-19.3,4.7,-2.3,72.9,75.9,57.2,51.9,51.3,48.7,52.0,48.0,48.9,51.1,37.9,62.1,,,
AbbVie Sligo,https://www.abbvie.ie/,Pharmaceutical,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Sligo-FINAL.pdf,2022.0,11.6,10.9,19.1,18.2,41.9,41.8,5.5,11.3,86.0,94.0,74.4,84.2,36.3,63.7,30.6,69.4,32.8,67.2,28.1,71.9,32.0,68.0,6,AbbVie Sligo,5,19.1,11.6,18.2,10.9,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Sligo-FINAL.pdf,2022,41.9,41.8,5.5,11.3,86.0,94.0,74.4,84.2,36.3,63.7,30.6,69.4,32.8,67.2,28.1,71.9,32.0,68.0,
AbbVie Westport (Allergan),https://www.abbvie.ie/,Pharmaceutical,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Westport-FINAL.pdf,2022.0,4.2,10.9,5.6,-56.4,83.7,86.5,-3.3,-2.7,91.6,92.1,90.1,93.6,41.4,58.6,37.2,62.8,50.7,49.3,42.2,57.8,43.0,57.0,7,AbbVie Westport (Allergan),6,5.6,4.2,-56.4,10.9,https://www.abbvie.ie/content/dam/abbvie-dotcom/ie/documents/AbbVie-Gender-Pay-Report-2022-AbbVie-Westport-FINAL.pdf,2022,83.7,86.5,-3.3,-2.7,91.6,92.1,90.1,93.6,41.4,58.6,37.2,62.8,50.7,49.3,42.2,57.8,43.0,57.0,
Ability West,https://www.abilitywest.ie/,Charity,https://static1.squarespace.com/static/58a315316b8f5bf7981d0c21/t/642413a0710b854607829541/1680085930179/Gender+Pay+Gap+Report+-+December+2022.pdf,2022.0,-1.66,-9.2,,,-10.64,-16.94,0.96,-5.22,,,,,75.0,25.0,81.0,19.0,87.0,13.0,80.0,20.0,81.0,19.0,8,ABP Food Group: ABP Ireland,7,81.7,18.4,0.0,8.3,https://web.archive.org/web/20230403123714/https://www.abpireland.com/wp-content/uploads/2022/12/ABP-Ireland-GenderPayGap-Final-Report.pdf,2022,,,,,83.0,86.7,,,31.3,68.7,26.1,73.9,13.4,86.8,17.0,83.0,,,
ABM (formerly Momentum Support),https://abmireland.com/,Facilities Services,https://abmireland.com/wp-content/uploads/2023/03/Momentum-Support-An-ABM-Company-Gender-Pay-Gap-Report-2022-Reg-No-IE091300-v3-1.pdf,2022.0,3.9,1.7,23.1,-17.3,0.2,1.8,,,2.8,3.7,0.9,1.2,77.0,23.0,69.1,30.9,64.5,35.5,64.0,36.0,68.67,31.33,9,ABP Food Group: C&D Foods,8,71.4,20.4,0.0,0.0,https://cdfoods.com/wp-content/uploads/2023/12/CD-GenderPayGap-Final-Report-2022.pdf,2022,,,,,93.0,93.1,,,57.6,42.4,21.0,79.0,44.9,55.1,33.3,66.7,,,
ABP Food Group: ABP Ireland,https://www.abpireland.com/,Food & Drink,https://web.archive.org/web/20230403123714/https://www.abpireland.com/wp-content/uploads/2022/12/ABP-Ireland-GenderPayGap-Final-Report.pdf,2022.0,18.4,8.3,81.7,0.0,,,,,83.0,86.7,,,31.3,68.7,26.1,73.9,13.4,86.8,17.0,83.0,,,10,ABP Food Group: Irish Country Meats,9,64.8,15.1,0.0,7.0,https://irishcountrymeats.com/wp-content/uploads/2022/12/20221221_ICM-GenderPayGap-final-draft-report.pdf,2022,,,,,66.9,72.8,,,41.1,58.9,23.0,77.0,21.9,78.1,21.2,78.8,,,
ABP Food Group: C&D Foods,https://cdfoods.com/,Food & Drink,https://cdfoods.com/wp-content/uploads/2023/12/CD-GenderPayGap-Final-Report-2022.pdf,2022.0,20.4,0.0,71.4,0.0,,,,,93.0,93.1,,,57.6,42.4,21.0,79.0,44.9,55.1,33.3,66.7,,,11,Abtran,10,25.8,12.6,0.0,1.5,https://web.archive.org/web/20230404121929/https://www.abtran.com/wp-content/uploads/2022/12/Abtran%20Gender%20Pay%20Gap%20Report%202022.pdf,2022,-24.31,-0.95,25.67,24.87,39.83,40.39,1.56,0.7,59.33,40.67,61.48,38.52,58.61,41.39,50.0,50.0,,,
ABP Food Group: Irish Country Meats,https://irishcountrymeats.com/,Food & Drink,https://irishcountrymeats.com/wp-content/uploads/2022/12/20221221_ICM-GenderPayGap-final-draft-report.pdf,2022.0,15.1,7.0,64.8,0.0,,,,,66.9,72.8,,,41.1,58.9,23.0,77.0,21.9,78.1,21.2,78.8,,,12,Accenture,11,27.64,9.05,2.23,1.34,https://web.archive.org/web/20230604082305/https://www.accenture.com/ie-en/about/inclusion-diversity/ireland-gender-pay-gap,2022,29.22,12.23,-0.78,-0.04,67.0,64.0,67.0,61.0,51.0,49.0,49.0,51.0,51.0,49.0,46.0,54.0,,,
Abtran,https://www.abtran.com/,Professional Services,https://web.archive.org/web/20230404121929/https://www.abtran.com/wp-content/uploads/2022/12/Abtran%20Gender%20Pay%20Gap%20Report%202022.pdf,2022.0,12.6,1.5,25.8,0.0,-24.31,-0.95,25.67,24.87,39.83,40.39,1.56,0.7,59.33,40.67,61.48,38.52,58.61,41.39,50.0,50.0,,,13,Actavo,12,-10.9,4.4,-42.9,1.6,https://actavo.com/images/uploads/general/Actavo_Group_Limited_Gender_Pay_Gap_Report_2022.pdf,2022,,,,,38.5,36.7,,,,,,,,,,,13.1,86.9,
Accenture,https://www.accenture.com/ie-en,"Professional Services,Consultancy",https://web.archive.org/web/20230604082305/https://www.accenture.com/ie-en/about/inclusion-diversity/ireland-gender-pay-gap,2022.0,9.05,1.34,27.64,2.23,29.22,12.23,-0.78,-0.04,67.0,64.0,67.0,61.0,51.0,49.0,49.0,51.0,51.0,49.0,46.0,54.0,,,14,Aer Lingus (all legal entities),13,79.4,30.5,15.7,14.1,https://www.aerlingus.com/media/images/content/AerLingusGenderPayGapReport.pdf,2022,41.0,3.5,2.2,1.1,58.1,14.7,1.5,4.7,40.1,59.9,63.7,36.3,52.8,47.2,20.3,79.7,,,
Actavo,https://actavo.com/,Professional Services,https://actavo.com/images/uploads/general/Actavo_Group_Limited_Gender_Pay_Gap_Report_2022.pdf,2022.0,4.4,1.6,-10.9,-42.9,,,,,38.5,36.7,,,,,,,,,,,13.1,86.9,15,AerCap,14,72.0,56.0,54.0,28.0,https://www.aercap.com/_assets/_e79c435076dd9ec445de9c9e9d52ed05/aercap/db/526/11967/file/AerCap+Gender+Pay+Gap+Report+2022.pdf,2022,,,19.0,41.0,91.0,93.0,95.0,98.0,66.0,34.0,45.0,55.0,44.0,56.0,32.0,68.0,46.91,53.08,
Aecom,https://aecom.com/ie/,"Construction,Engineering",https://publications.aecom.com/media/files/gender_pay_gap/2022/aecom_ireland_gender-pay-gap-report_2022.pdf,2022.0,17.1,25.7,30.1,46.7,-32.0,-52.0,-41.3,-16.6,39.0,36.0,93.0,89.0,41.0,59.0,37.0,63.0,28.0,72.0,19.0,81.0,31.0,69.0,16,AIB,15,7.37,18.4,5.57,14.44,https://aib.ie/content/dam/aib/personal/docs/help-and-guidance/AIB-gender-pay-gap-report-2022.pdf,2022,-4.16,-18.98,2.63,4.2,0.9,1.6,91.8,88.9,58.4,41.6,64.2,35.8,63.0,37.0,39.9,60.1,,,
Aer Lingus (all legal entities),https://www.aerlingus.com/html/en-US/home.html,Aviation,https://www.aerlingus.com/media/images/content/AerLingusGenderPayGapReport.pdf,2022.0,30.5,14.1,79.4,15.7,41.0,3.5,2.2,1.1,58.1,14.7,1.5,4.7,40.1,59.9,63.7,36.3,52.8,47.2,20.3,79.7,,,17,AIG (both legal entities),16,48.0,26.5,33.0,25.0,https://www.aig.ie/content/dam/aig/emea/ireland/documents/misc/aig-ireland-gender-pay-gap-report-2022.pdf,2022,,,-3.0,0.0,81.0,91.0,87.0,80.0,58.0,42.0,50.0,50.0,54.0,46.0,30.0,70.0,,,
AerCap,https://www.aercap.com/,Aviation,https://www.aercap.com/_assets/_e79c435076dd9ec445de9c9e9d52ed05/aercap/db/526/11967/file/AerCap+Gender+Pay+Gap+Report+2022.pdf,2022.0,56.0,28.0,72.0,54.0,,,19.0,41.0,91.0,93.0,95.0,98.0,66.0,34.0,45.0,55.0,44.0,56.0,32.0,68.0,46.91,53.08,18,Airbnb Ireland UC,17,29.3,23.9,9.6,14.0,https://news.airbnb.com/wp-content/uploads/sites/4/2022/12/Airbnb-Ireland-UC-Gender-Pay-Gap-2022.pdf,2022,,,,,100.0,100.0,100.0,100.0,62.1,37.9,56.8,43.2,57.9,42.1,48.5,51.5,,,
AIB,https://aib.ie/,"Banking,Financial",https://aib.ie/content/dam/aib/personal/docs/help-and-guidance/AIB-gender-pay-gap-report-2022.pdf,2022.0,18.4,14.44,7.37,5.57,-4.16,-18.98,2.63,4.2,0.9,1.6,91.8,88.9,58.4,41.6,64.2,35.8,63.0,37.0,39.9,60.1,,,19,Alcon Ireland,18,-13.7,1.0,4.1,3.0,https://uk.alcon.com/sites/g/files/rbvwei766/files/2022-12/Gender_Pay_Gap_Report_2022.pdf,2022,-28.7,-14.0,1.0,-11.6,85.8,89.0,100.0,100.0,57.0,43.0,62.0,38.0,70.0,30.0,66.0,34.0,,,
AIG (both legal entities),https://www.aig.ie/,Insurance,https://www.aig.ie/content/dam/aig/emea/ireland/documents/misc/aig-ireland-gender-pay-gap-report-2022.pdf,2022.0,26.5,25.0,48.0,33.0,,,-3.0,0.0,81.0,91.0,87.0,80.0,58.0,42.0,50.0,50.0,54.0,46.0,30.0,70.0,,,20,ALDI Ireland,19,-3.0,13.2,0.0,2.2,https://cdn.aldi-digital.co.uk/ET4mO3qq$0Lci4LtXg0rOUtDlTQ.pdf,2022,1.6,1.6,-7.6,-1.1,17.0,13.0,72.0,74.0,55.0,45.0,51.0,49.0,51.0,49.0,41.0,59.0,,,
Airbnb Ireland UC,https://www.airbnb.ie/,"Technology,Software",https://news.airbnb.com/wp-content/uploads/sites/4/2022/12/Airbnb-Ireland-UC-Gender-Pay-Gap-2022.pdf,2022.0,23.9,14.0,29.3,9.6,,,,,100.0,100.0,100.0,100.0,62.1,37.9,56.8,43.2,57.9,42.1,48.5,51.5,,,21,Alliance Medical,20,48.0,4.5,74.0,37.5,https://www.alliancemedical.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022,-7.0,13.65,,,4.0,4.0,,,91.0,9.0,84.0,16.0,53.0,47.0,77.0,23.0,76.0,24.0,
Alcon Ireland,https://www.alcon.com/,"Pharmaceutical,Medical",https://uk.alcon.com/sites/g/files/rbvwei766/files/2022-12/Gender_Pay_Gap_Report_2022.pdf,2022.0,1.0,3.0,-13.7,4.1,-28.7,-14.0,1.0,-11.6,85.8,89.0,100.0,100.0,57.0,43.0,62.0,38.0,70.0,30.0,66.0,34.0,,,22,Allianz Ireland,21,45.8,19.8,10.7,13.9,https://www.allianz.ie/content/dam/onemarketing/azie/allianz-ireland/en_us/documents/about/Allianz_Ireland_Gender_Pay_Gap_Dec_22.pdf,2022,-8.05,-7.53,7.01,-11.87,83.19,84.06,66.46,64.35,51.81,48.19,53.01,46.99,51.81,48.19,35.54,64.46,,,
ALDI Ireland,https://www.aldi.ie/,Retail,https://cdn.aldi-digital.co.uk/ET4mO3qq$0Lci4LtXg0rOUtDlTQ.pdf,2022.0,13.2,2.2,-3.0,0.0,1.6,1.6,-7.6,-1.1,17.0,13.0,72.0,74.0,55.0,45.0,51.0,49.0,51.0,49.0,41.0,59.0,,,23,Amazon Data Services Ireland Ltd,22,14.3,4.3,20.9,6.0,https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,43.5,42.9,-17.1,-26.9,79.7,78.4,82.7,88.1,20.0,80.0,14.0,86.0,17.0,83.0,13.0,87.0,,,
Alexion,https://alexion.com/worldwide/Ireland,Pharmaceutical,https://alexion.com/documents/alexion_gender_pay_gap_report_2022,2022.0,24.2,17.9,48.1,23.3,26.0,18.1,-2.0,9.6,77.2,80.6,73.1,74.6,56.9,43.1,47.9,52.1,41.7,58.3,38.6,61.4,46.0,54.0,24,Amazon Development Centre Ireland Ltd ,23,37.2,19.7,40.2,20.8,https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,,,5.0,12.7,93.7,94.9,93.7,90.5,20.0,80.0,13.0,87.0,6.0,94.0,8.0,92.0,,,
Alliance Medical,https://www.alliancemedical.ie/,Healthcare,https://www.alliancemedical.ie/wp-content/uploads/2022/12/Gender-Pay-Gap-Report-2022.pdf,2022.0,4.5,37.5,48.0,74.0,-7.0,13.65,,,4.0,4.0,,,91.0,9.0,84.0,16.0,53.0,47.0,77.0,23.0,76.0,24.0,25,Amazon Ireland Support Services Ltd ,24,12.0,7.8,16.7,8.6,https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022,0.0,0.0,0.0,0.0,87.2,85.7,86.1,79.0,63.0,37.0,59.0,41.0,60.0,40.0,50.0,50.0,,,
Allianz Ireland,https://www.allianz.ie/,"Insurance,Financial",https://www.allianz.ie/content/dam/onemarketing/azie/allianz-ireland/en_us/documents/about/Allianz_Ireland_Gender_Pay_Gap_Dec_22.pdf,2022.0,19.8,13.9,45.8,10.7,-8.05,-7.53,7.01,-11.87,83.19,84.06,66.46,64.35,51.81,48.19,53.01,46.99,51.81,48.19,35.54,64.46,,,26,Amundi Ireland,25,68.9,41.0,19.1,16.8,https://www.amundi.ie/retail/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_ac479bcf-8447-4668-8ef5-f763ed634903_inline,2022,,,-2.5,-0.5,85.1,85.3,93.4,90.5,36.8,63.2,46.0,54.0,39.3,60.7,15.7,84.3,34.3,65.7,
Amazon Data Services Ireland Ltd,https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022.0,4.3,6.0,14.3,20.9,43.5,42.9,-17.1,-26.9,79.7,78.4,82.7,88.1,20.0,80.0,14.0,86.0,17.0,83.0,13.0,87.0,,,27,An Garda S?och?na: Garda Members,26,,4.81,,3.94,https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022,-1.3,-2.01,,,,,,,36.0,64.0,34.0,66.0,24.0,76.0,18.0,82.0,28.0,72.0,
Amazon Development Centre Ireland Ltd ,https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022.0,19.7,20.8,37.2,40.2,,,5.0,12.7,93.7,94.9,93.7,90.5,20.0,80.0,13.0,87.0,6.0,94.0,8.0,92.0,,,28,An Garda S?och?na: Garda Staff,27,,2.67,,-15.54,https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022,-10.59,-7.19,-1.27,-0.71,,,,,67.0,33.0,64.0,36.0,86.0,14.0,69.0,31.0,72.0,28.0,
Amazon Ireland Support Services Ltd ,https://www.amazon.co.uk/,"Technology,Software",https://assets.aboutamazon.com/b8/81/2343ec2c4fa3beecdb044628ec97/amazon-gender-pay-gap-report-2022-1.pdf,2022.0,7.8,8.6,12.0,16.7,0.0,0.0,0.0,0.0,87.2,85.7,86.1,79.0,63.0,37.0,59.0,41.0,60.0,40.0,50.0,50.0,,,29,An Post,28,8.2,-0.86,10.9,0.49,https://www.anpost.com/getmedia/016a351d-f97b-4ee5-b910-bd995fcfb93c/AnPostGenderReport2022.pdf,2022,-7.7,-7.28,2.3,1.92,10.58,6.64,0.0,0.1,31.0,69.0,19.0,81.0,17.0,83.0,32.0,68.0,,,
Amundi Ireland,https://www.amundi.ie/retail,Financial,https://www.amundi.ie/retail/ezjscore/call/ezjscamundibuzz::sfForwardFront::paramsList=service=ProxyGedApi&routeId=_dl_ac479bcf-8447-4668-8ef5-f763ed634903_inline,2022.0,41.0,16.8,68.9,19.1,,,-2.5,-0.5,85.1,85.3,93.4,90.5,36.8,63.2,46.0,54.0,39.3,60.7,15.7,84.3,34.3,65.7,30,Aon Ireland (all legal entities),29,64.2,28.3,50.9,27.8,https://www.aon.com/getmedia/2ead2c41-0026-43b5-ba73-d39cd809d868/Aon-Ireland-Gender-Pay-Gap-Report-2022-(web).pdf,2022,-0.5,-49.3,5.2,-28.8,86.1,85.3,93.2,94.6,69.0,31.0,59.6,40.4,52.5,47.5,26.6,73.4,,,
An Garda Síochána: Garda Members,https://garda.ie/en/,Public Service,https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022.0,4.81,3.94,,,-1.3,-2.01,,,,,,,36.0,64.0,34.0,66.0,24.0,76.0,18.0,82.0,28.0,72.0,31,Apple Ireland (all legal entities),30,11.0,9.0,0.0,3.0,https://www.apple.com/ie/legal/more-resources/docs/ie-gender-pay-gap-report-2022.pdf,2022,-45.0,-18.0,-4.0,-4.0,84.0,89.0,100.0,100.0,47.0,53.0,40.0,60.0,45.0,55.0,38.0,62.0,,,
An Garda Síochána: Garda Staff,https://garda.ie/en/,Public Service,https://garda.ie/en/about-us/our-departments/human-resources-and-people-development/garda-hr-directorate/an-garda-siochana-gender-pay-gap-report-2022.pdf,2022.0,2.67,-15.54,,,-10.59,-7.19,-1.27,-0.71,,,,,67.0,33.0,64.0,36.0,86.0,14.0,69.0,31.0,72.0,28.0,32,Applegreen,31,57.84,7.8,50.0,0.86,https://applegreenstores.com/wp-content/uploads/2022/12/AG_Gender-Pay-Gap_2022.pdf,2022,1.4,1.3,,,25.0,20.0,2.8,2.6,63.0,37.0,58.0,42.0,47.0,53.0,42.0,57.0,,,
An Post,https://www.anpost.com/,"Public Service,Logistics",https://www.anpost.com/getmedia/016a351d-f97b-4ee5-b910-bd995fcfb93c/AnPostGenderReport2022.pdf,2022.0,-0.86,0.49,8.2,10.9,-7.7,-7.28,2.3,1.92,10.58,6.64,0.0,0.1,31.0,69.0,19.0,81.0,17.0,83.0,32.0,68.0,,,33,Applus Car Testing Services Ltd. (Fortnightly) ,32,-203.9,-0.3,-214.2,-4.9,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,0.0,0.0,,,,,0.0,0.0,0.0,100.0,25.0,75.0,50.0,50.0,25.0,75.0,,,
Analog Devices,https://www.analog.com/en/index.html,"Technology,Hardware",https://www.analog.com/media/en/company-csr/2022-ireland-pay-gap-analysis.pdf,2022.0,22.6,19.6,33.0,33.5,16.0,0.2,,,77.0,83.7,81.4,87.8,30.6,69.4,27.2,72.8,17.6,82.4,11.6,88.4,,,34,Applus Car Testing Services Ltd. (Monthly),33,0.0,0.0,100.0,100.0,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,0.0,0.0,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,,
Aon Ireland (all legal entities),https://www.aon.com/ireland/default.jsp,Insurance,https://www.aon.com/getmedia/2ead2c41-0026-43b5-ba73-d39cd809d868/Aon-Ireland-Gender-Pay-Gap-Report-2022-(web).pdf,2022.0,28.3,27.8,64.2,50.9,-0.5,-49.3,5.2,-28.8,86.1,85.3,93.2,94.6,69.0,31.0,59.6,40.4,52.5,47.5,26.6,73.4,,,35,Applus Inspection Services Ltd. Ireland (Fortnightly),34,56.28,30.54,60.33,34.1,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,7.07,7.9,0.0,0.0,97.39,98.85,0.0,0.16,56.91,43.09,5.52,94.48,1.1,98.9,0.0,100.0,,,
Apple Ireland (all legal entities),https://www.apple.com/ie/,"Technology,Software,Hardware",https://www.apple.com/ie/legal/more-resources/docs/ie-gender-pay-gap-report-2022.pdf,2022.0,9.0,3.0,11.0,0.0,-45.0,-18.0,-4.0,-4.0,84.0,89.0,100.0,100.0,47.0,53.0,40.0,60.0,45.0,55.0,38.0,62.0,,,36,Applus Inspection Services Ltd. Ireland (Monthly),35,72.89,42.0,45.88,50.38,https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022,0.0,0.0,0.0,0.0,84.62,83.72,0.0,32.56,71.43,28.57,7.14,92.86,7.14,92.86,7.14,92.86,,,
Applegreen,https://applegreenstores.com/,Retail,https://applegreenstores.com/wp-content/uploads/2022/12/AG_Gender-Pay-Gap_2022.pdf,2022.0,7.8,0.86,57.84,50.0,1.4,1.3,,,25.0,20.0,2.8,2.6,63.0,37.0,58.0,42.0,47.0,53.0,42.0,57.0,,,37,Arachas,36,52.6,29.7,32.1,22.2,https://www.arachas.ie/media/5yonmz5m/arachas-gender-pay-gap-report-2022.pdf,2022,40.24,41.79,0.79,-28.67,83.0,78.0,2.45,5.18,59.0,41.0,68.0,32.0,34.0,66.0,34.0,66.0,,,
Applus Car Testing Services Ltd. (Fortnightly) ,https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022.0,-0.3,-4.9,-203.9,-214.2,0.0,0.0,,,,,0.0,0.0,0.0,100.0,25.0,75.0,50.0,50.0,25.0,75.0,,,38,Aramark: Avoca Handweavers Shops Limited,37,29.4,-0.6,9.8,1.5,https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,0.9,0.9,,,3.0,1.0,0.3,0.2,62.2,37.8,60.7,39.3,58.0,42.0,56.4,43.6,,,
Applus Car Testing Services Ltd. (Monthly),https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022.0,0.0,100.0,0.0,100.0,0.0,0.0,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,,,39,Aramark: Campbell Catering Limited,38,60.1,13.5,39.5,5.1,https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,1.0,0.6,,,5.3,5.8,1.3,2.5,72.0,28.0,62.0,38.0,64.0,36.0,50.0,50.0,,,
Applus Inspection Services Ltd. Ireland (Fortnightly),https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022.0,30.54,34.1,56.28,60.33,7.07,7.9,0.0,0.0,97.39,98.85,0.0,0.16,56.91,43.09,5.52,94.48,1.1,98.9,0.0,100.0,,,40,Aramark: Vector Workplace and Facility Management Limited,39,-15.1,32.3,-29.6,28.0,https://web.archive.org/web/20230323084624/https://northerneurope.aramark.com/-/media/pdf/2022/518912-gender-pay-gap-report-2022-v8.pdf?la=en-gb&hash=057E8EFFDC29B1942A5381369D0E447C15C2CAE5,2022,4.8,1.7,41.3,1.2,1.4,6.8,1.6,30.5,81.0,19.0,71.0,29.0,57.0,43.0,13.0,87.0,,,
Applus Inspection Services Ltd. Ireland (Monthly),https://www.applus.com/global/en/,"Testing,Inspection",https://www.ncts.ie/media/4erdbbf1/gender_pay_gap_report_2022.pdf,2022.0,42.0,50.38,72.89,45.88,0.0,0.0,0.0,0.0,84.62,83.72,0.0,32.56,71.43,28.57,7.14,92.86,7.14,92.86,7.14,92.86,,,41,Ardmac,40,24.0,12.0,32.0,1.9,https://www.ardmac.com/report-on-the-gender-pay-gap-at-ardmac/,2022,,,,,80.0,44.0,,,,,,,,,,,12.0,88.0,
