Company Name,Company Site,Company Industries,Report Link,Report Year,Mean Hourly Gap,Median Hourly Gap,Mean Bonus Gap,Median Bonus Gap,Mean Hourly Gap Part Time,Median Hourly Gap Part Time,Mean Hourly Gap Part Temp,Median Hourly Gap Part Temp,Percentage Bonus Paid Female,Percentage Bonus Paid Male,Percentage BIK Paid Female,Percentage BIK Paid Male,Q1 Female,Q1 Male,Q2 Female,Q2 Male,Q3 Female,Q3 Male,Q4 Female,Q4 Male,Percentage Employees Female,Percentage Employees Male,id,companyName,companies_ID,meanBonus,meanHourly,medianBonus,medianHourly,reportLink,year,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale,pb1Female,pb1Male,pb2Female,pb2Male,pb3Female,pb3Male,pb4Female,pb4Male,perEmployeesFemale,perEmployeesMale,comment
Mitie,https://mitie.ie/,Professional Services,https://mitie.ie/wp-content/uploads/2024/01/Mitie-ROI-Gender-Pay-Report-2023.pdf,2023.0,19.0,8.0,0.0,0.0,,,,,5.0,9.0,7.0,2.0,75.0,25.0,80.0,20.0,46.0,54.0,34.0,66.0,58.0,42.0,1006,Alliance Medical,20,55.0,0.32,-1.25,35.09,https://www.alliancemedical.ie/wp-content/uploads/2023/12/2023-Gender-Pay-Gap-Report.pdf,2023,-24.21,-15.86,,,4.0,7.0,32.11,48.41,92.0,8.0,77.0,23.0,61.0,39.0,70.0,30.0,75.0,25.0,No figures reported for temporary employees
Monaghan County Council,https://monaghan.ie/,"Public Service,Council",https://monaghan.ie/humanresources/wp-content/uploads/sites/5/2023/12/MCC-Gender-Pay-Gap-Report-2023-V4-1.pdf,2023.0,-3.01,-13.84,,,-14.82,-12.88,33.47,34.27,,,,,39.83,60.17,24.58,75.42,50.0,50.0,50.42,49.58,41.0,59.0,1007,Janssen Sciences Ireland,593,-1.58,3.07,-13.3,5.91,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,-37.71,-17.64,-1.6,-1.03,93.63,93.4,96.74,96.7,53.9,46.1,40.3,59.7,31.1,68.9,43.3,56.7,,,
Monaghan Mushrooms,https://www.monaghan.eu/,Food & Drink,https://www.monaghan.eu/wp-content/uploads/2023/12/Gender-Pay-Gap-2023-Monaghan-Mushrooms-Ireland-Unlimited-Company.pdf,2023.0,14.4,2.25,71.4,41.76,160.7,63.4,,,14.7,12.2,16.9,7.6,52.0,48.0,49.0,51.0,44.0,56.0,45.0,55.0,47.0,53.0,1008,Janssen Pharmaceutical Sciences,592,7.01,13.77,13.87,14.55,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,6.5,1.53,,,98.48,97.2,97.73,100.0,75.4,24.6,43.5,56.5,30.4,69.6,42.6,57.4,,,Temporary gap reported as NA
Mondelez International,https://www.mondelezinternational.com/ireland/,Food & Drink,https://www.mondelezinternational.com/assets/Country/Ireland/Mondelez-Ireland-Gender-Gap-Report-2023.pdf,2023.0,12.5,11.3,13.9,13.2,-1.0,22.7,,,96.0,94.0,19.0,23.0,55.0,45.0,40.0,60.0,26.0,74.0,23.0,77.0,36.0,64.0,1009,Johnson & Johnson Vision Care,594,-1.65,3.67,17.01,11.4,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,,,-11.53,-2.96,84.56,84.23,95.22,93.74,22.1,77.9,19.2,80.8,10.3,89.7,15.2,84.9,,,Part-time employees reported as NA
Mount Juliet Estate,https://www.mountjuliet.ie/,"Hospitality,Hotel",https://www.mountjuliet.ie/wp-content/uploads/2024/01/Mount-Juliet-Estate-Gender-Pay-Gap-Report-2023.pdf,2023.0,9.0,-0.5,54.0,32.0,-1.0,-4.2,3.0,4.2,,,,,45.0,55.0,45.0,55.0,61.0,39.0,35.0,65.0,,,1010,DePuy Ireland,591,-13.07,2.61,-4.44,4.72,https://jnj.co.uk/ireland-gender-pay-gap-report-2023,2023,8.99,10.48,26.06,29.29,90.66,90.3,96.69,96.57,41.0,59.0,21.1,78.9,21.1,78.9,29.6,70.4,,,
MOWI,https://mowi.com/ie/,Food & Drink,https://mowi.com/ie/wp-content/uploads/sites/8/2023/12/Mowi-Ireland-Gender-Pay-Gap-2023.pdf,2023.0,-1.16,10.06,-33.0,12.04,,,,,85.0,87.0,4.49,4.21,22.0,78.0,22.0,78.0,21.0,79.0,21.0,79.0,,,1011,Pinterest,673,15.8,16.5,-8.4,2.5,https://newsroom.pinterest.com/en-gb/news/ireland-gender-pay-gap-report-2022-2023/,2023,,,,,100.0,100.0,95.0,91.3,55.1,44.9,63.8,36.2,68.1,31.9,46.4,53.6,,,No figures reported for part-time or temporary employees.
MSD,https://msd-ireland.com/,Pharmaceutical,https://msd-ireland.com/wp-content/uploads/sites/67/2023/12/MSD-GPG-2023_Dec16.pdf,2023.0,9.65,12.62,12.28,8.15,-9.55,-24.45,21.96,41.67,95.1,96.1,100.0,100.0,54.0,46.0,52.0,48.0,34.0,66.0,30.0,70.0,42.74,57.26,1012,Pinterest,673,31.4,12.8,-27.2,-0.7,https://newsroom.pinterest.com/en-gb/news/our-20212022-ireland-gender-pay-gap-report/,2022,,,-0.2,-7.4,98.2,93.8,98.2,95.5,62.0,38.0,57.1,42.9,67.6,32.4,54.9,45.1,,,No figures reported for part-time employees.
MUFG Investor Services Ireland,https://www.mufg-investorservices.com/,Financial,https://www.mufg-investorservices.com/wp-content/uploads/mufg-ireland-gender-pay-gap-external-2023-final.pdf,2023.0,6.2,4.2,11.5,7.0,-59.2,-66.4,,,77.0,79.0,93.0,97.0,45.0,55.0,42.0,58.0,43.0,57.0,37.0,63.0,42.0,58.0,1013,Johnson Controls: Silent-Aire,595,39.0,-10.1,21.9,-9.8,https://www.johnsoncontrols.co.uk/-/media/jci/be/united-kingdom/gpg/hq2312001_gender-pay-gap-reporting-2023-rev1.pdf,2023,,,,,10.7,89.3,10.7,89.3,2.4,97.6,6.0,94.0,6.0,94.0,7.1,92.9,,,Figures not reported for part-time or temporary employees
Muiriosa Foundation,https://www.muiriosa.ie/,Charity,https://www.muiriosa.ie/wp-content/uploads/Gender-Pay-Gap-Report-Dec-2023.pdf,2023.0,-3.96,-3.58,,,-2.19,-1.21,-8.0,-6.99,,,,,72.05,27.95,78.1,21.9,75.29,24.71,81.27,18.73,77.0,23.0,1014,Johnson Controls: Tyco,596,40.0,24.1,28.5,28.1,https://www.johnsoncontrols.co.uk/-/media/jci/be/united-kingdom/gpg/hq2312001_gender-pay-gap-reporting-2023-rev1.pdf,2023,51.7,52.8,8.29,0.0,32.8,67.2,45.1,54.9,55.2,44.8,58.6,41.4,48.3,51.7,20.5,79.5,,,
Musgrave: Cedarglade,https://www.musgravegroup.com/,Retail,https://www.musgravegroup.com/wp-content/uploads/2023/12/Cedarglade-Gender-Pay-Gap-Report-202311.pdf,2023.0,4.1,-0.6,40.8,0.0,-4.4,-1.1,0.0,0.0,48.0,39.0,0.2,1.6,55.0,45.0,58.0,42.0,62.0,38.0,57.0,43.0,,,1015,Kelly Services (IRE) Limited,242,-1.85,28.21,-3.67,-5.82,https://irp.cdn-website.com/7f167ff5/files/uploaded/Gender%20Report%202023%20Ireland.pdf,2023,,,6.65,4.52,29.7,26.8,2.28,0.72,59.0,51.0,47.0,53.0,42.0,58.0,30.0,70.0,,,No part-time employees to report on.
